SMILES,Kinetic solubility in PBS (uM),logS
CCOC(=O)C(O)(Cc1ccccc1[N+](=O)[O-])C(=O)OCC,147.156978071933,-3.8322191391621905
CC(C)CCOc1ccc(B(O)O)cn1,146.896764524376,-3.832987769660283
CC(C)(C)OC(=O)N1c2ccccc2CC1C(=O)O,146.17379440414902,-3.8351304794012973
O=c1c2oc3ccccc3c2nc2n1CCO2,145.179050507407,-3.8380960482739677
CC(=O)OCC1OC(OC2OC(CI)C(OC(C)=O)C(OC(C)=O)C2OC(C)=O)C(OC(C)=O)C(OC(C)=O)C1OC(C)=O,145.144364083869,-3.838199823041376
CN(C=C[N+](=O)[O-])C1CCCCC1,143.554227893113,-3.842984012337729
CC[N+](CC)(CC)CC(=O)O,143.1656534350535,-3.8441611601900427
O=C1CCc2[nH]c3cc[nH]c(=O)c3c2C1,141.16873715922048,-3.850261470299241
CC(CCC(=O)N1CCN(C(c2ccc(F)cc2)c2ccc(F)cc2)CC1)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,141.1434177666785,-3.850339370398856
O=C(CCn1c(=O)oc2ccccc21)N1CCCCC1,141.0255671006655,-3.850702145187433
